317,Bodajk
318,Bodmér
319,Bodolyabér
320,Bodonhely
321,Bodony
322,Bodorfa
323,Bodrog
324,Bodroghalom
325,Bodrogkeresztúr
326,Bodrogkisfalud
327,Bodrogolaszi
328,Bódvalenke
329,Bódvarákó
330,Bódvaszilas
331,Bogács
332,Bogád
333,Bogádmindszent
334,Bogdása
335,Bogyiszló
336,Bogyoszló
337,Bojt
338,Bókaháza
339,Bokod
340,Bokor
341,Boldog
342,Boldogasszonyfa
343,Boldogkőújfalu
344,Boldogkőváralja
345,Boldva
346,Bolhás
347,Bolhó
348,Bóly
349,Boncodfölde
350,Bonyhád
351,Bonyhádvarasd
352,Bonnya
353,Bordány
354,Borgáta
355,Borjád
356,Borota
357,Borsfa
358,Borsodbóta
359,Borsodgeszt
360,Borsodivánka
361,Borsodnádasd
362,Borsodszentgyörgy
363,Borsodszirák
364,Borsosberény
365,Borszörcsök
366,Borzavár
367,Bosta
368,Botpalád
369,Botykapeterd
370,Bozzai
371,Bozsok
372,Bózsva
373,Bő
374,Bőcs
375,Böde
376,Bödeháza
377,Bögöt
378,Bögöte
379,Böhönye
380,Bököny
381,Bölcske
382,Bőny
383,Börcs
384,Börzönce
385,Bősárkány
386,Bőszénfa
387,Bucsa
388,Bucsu
389,Búcsúszentlászló
390,Bucsuta
391,Budajenő
392,Budakalász
393,Budakeszi
394,Budaörs
395,Budapest
396,Budapest 01. ker.
397,Budapest 02. ker.
398,Budapest 03. ker.
399,Budapest 04. ker.
400,Budapest 05. ker.
401,Budapest 06. ker.
402,Budapest 07. ker.
403,Budapest 08. ker.
404,Budapest 09. ker.
405,Budapest 10. ker.
406,Budapest 11. ker.
407,Budapest 12. ker.
408,Budapest 13. ker.
409,Budapest 14. ker.
410,Budapest 15. ker.
411,Budapest 16. ker.
412,Budapest 17. ker.
413,Budapest 18. ker.
414,Budapest 19. ker.
415,Budapest 20. ker.
416,Budapest 21. ker.
417,Budapest 22. ker.
418,Budapest 23. ker.
419,Bugac
420,Bugacpusztaháza
421,Bugyi
422,Buj
423,Buják
424,Buzsák
425,Bük
426,Bükkábrány
427,Bükkaranyos
428,Bükkmogyorósd
429,Bükkösd
430,Bükkszék
431,Bükkszenterzsébet
432,Bükkszentkereszt
433,Bükkszentmárton
434,Bükkzsérc
435,Bürüs
436,Büssü
437,Büttös
438,Cák
439,Cakóháza
440,Cece
441,Cégénydányád
442,Cegléd
443,Ceglédbercel
444,Celldömölk
445,Cered
446,Chernelházadamonya
447,Cibakháza
448,Cigánd
449,Cikó
450,Cirák
451,Cún
452,Csabacsűd
453,Csabaszabadi
454,Csabdi
455,Csabrendek
456,Csáfordjánosfa
457,Csaholc
458,Csajág
459,Csákány
460,Csákánydoroszló
461,Csákberény
462,Csákvár
463,Csanádalberti
464,Csanádapáca
465,Csanádpalota
466,Csánig
467,Csány
468,Csányoszró
469,Csanytelek
470,Csapi
471,Csapod
472,Csárdaszállás
473,Csarnóta
474,Csaroda
475,Császár
476,Császártöltés
477,Császló
478,Csátalja
